latitude,longitude,accident_count,serious_injury,death,schoolzone,grid_id,accident_type,region_name,spot_name
37.57302201,127.01564355,43,19,0,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 숭인동(동묘앞역 부근)
37.56946748,127.00963297,28,6,0,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 창신동(오간수교남단 부근)
37.5713096,127.00873693,25,6,0,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 종로6가(동대문로터리 부근)
37.57617605,127.0021885,24,9,0,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 이화동(이화사거리 부근)
37.57082837,126.99729812,21,12,0,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 종로4가(종로4가일반국도6호선 부근)
37.57008041,126.98748857,21,5,0,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 종로2가(종로2가 부근)
37.58532717,127.00105159,20,9,1,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 혜화동(혜화동창경궁로진출1 부근)
37.57599466,126.97240037,19,4,0,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 당주동(경복궁역 부근)
37.57297138,127.02283158,18,9,0,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 숭인동(황학교북단난계로진 부근)
37.57182801,127.01136223,17,4,1,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 창신동(동대문로터리흥인지문 부근)
37.57475722,127.02089499,16,4,0,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 숭인동(신설동역일반국도6호선 부근)
37.58020955,127.00213793,16,4,0,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 동숭동(함춘회관 부근)
37.57115601,127.00200923,15,4,1,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 종로5가(종로5가 부근)
37.57017399,126.97737232,15,8,0,0,3,이륜차,서울특별시 종로구,서울특별시 종로구 세종로(세종로사거리 부근)
37.56935486,127.01586509,24,7,0,0,3,이륜차,서울특별시 중구,서울특별시 중구 흥인동(다산교남단 부근)
37.55485242,127.01065723,23,9,0,0,3,이륜차,서울특별시 중구,서울특별시 중구 신당동(약수역 부근)
37.55648589,126.97327128,23,8,0,0,3,이륜차,서울특별시 중구,서울특별시 중구 남대문로5가(한국외환은행남대문지 부근)
37.56523204,127.01041406,23,6,0,0,3,이륜차,서울특별시 중구,서울특별시 중구 을지로7가(동대문공영주차장 부근)
37.56329437,127.002786,22,13,0,0,3,이륜차,서울특별시 중구,서울특별시 중구 장충동2가(퇴계로5가 부근)
37.56614207,127.00731093,19,10,0,0,3,이륜차,서울특별시 중구,서울특별시 중구 을지로6가(동대문운동장을지로진 부근)
