시군명,병원명/센터명,업무구분명,대표전화번호,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도
수원시,경기도의료원 수원병원,지역응급의료기관,888-0114,경기도 수원시 장안구 수성로245번길 69,경기도 수원시 장안구 정자동 886-9번지,16316,37.2918869067,126.9963395675
수원시,동수원병원,지역응급의료센터,210-0114,경기도 수원시 팔달구 중부대로 165,경기도 수원시 팔달구 우만동 157-7번지,16494,37.2781610499,127.0343321487
수원시,명인의료재단 화홍병원,지역응급의료센터,278-0119,경기도 수원시 권선구 호매실로90번길 98,경기도 수원시 권선구 호매실동 1396-1번지,16630,37.2601327790,126.9639256053
수원시,성빈센트병원,지역응급의료센터,1577-8588,경기도 수원시 팔달구 중부대로 93,경기도 수원시 팔달구 지동 93-6번지,16247,37.2778994265,127.0274529236
수원시,수원윌스기념병원,지역응급의료기관,223-2233,경기도 수원시 팔달구 경수대로 437,경기도 수원시 팔달구 인계동 994-3번지,16480,37.2653173655,127.0255465941
수원시,아주대학교병원,권역응급의료센터,1688-6114,경기도 수원시 영통구 월드컵로 164,경기도 수원시 영통구 원천동 산26-6번지,16499,37.2793432963,127.0463045226
성남시,국군수도병원,지역응급의료기관,725-5114,경기도 성남시 분당구 새마을로177번길 81,경기도 성남시 분당구 율동 222번지,13574,37.3923730573,127.1490748546
성남시,분당서울대병원,권역응급의료센터,1588-3369,경기도 성남시 분당구 구미로173번길 82,경기도 성남시 분당구 구미동 300번지,13620,37.3486126086,127.1254645616
성남시,분당제생병원,지역응급의료센터,779-0114,경기도 성남시 분당구 서현로180번길 20,경기도 성남시 분당구 서현동 255-2번지,13590,37.3882075823,127.1217770322
성남시,분당차병원,권역응급의료센터,780-5000,경기도 성남시 분당구 야탑로 59,경기도 성남시 분당구 야탑동 351번지,13496,37.4104664747,127.1258348309
성남시,성남시의료원,지역응급의료센터,738-7801,경기도 성남시 수정구 수정로171번길 10,경기도 성남시 수정구 태평동 3309번지,13290,37.4448498671,127.1390489311
성남시,성남정병원,지역응급의료기관,750-6000,경기도 성남시 수정구 수정로 76,경기도 성남시 수정구 수진동 2968번지,13316,37.4398522373,127.1290120515
성남시,성남중앙병원,지역응급의료기관,1577-7986,경기도 성남시 중원구 산성대로476번길 12,경기도 성남시 중원구 금광동 3956번지,13161,37.4524448785,127.1622468139
의정부시,가톨릭대의정부성모병원,권역응급의료센터,1661-7500,경기도 의정부시 천보로 271,경기도 의정부시 금오동 65-1번지,11765,37.7585227082,127.0779287098
의정부시,경기도의료원 의정부병원,지역응급의료기관,828-5000,경기도 의정부시 흥선로 142,경기도 의정부시 의정부동 433번지,11671,37.7410761753,127.0425136635
의정부시,의정부백병원,지역응급의료기관,856-8111,경기도 의정부시 금신로 322,경기도 의정부시 신곡동 519-11번지,11778,37.7453057969,127.0621355806
의정부시,의정부을지대학교병원,지역응급의료센터,1899-0001,경기도 의정부시 동일로 712,경기도 의정부시 금오동 489번지,11759,37.7539942635,127.0500967064
의정부시,추병원,지역응급의료기관,845-7777,경기도 의정부시 평화로 650,경기도 의정부시 의정부동 234-2번지,11686,37.7497753415,127.0452071306
